corporation,lastmonth_activity,lastyear_activity,number_of_employees,exited,corporation,lastmonth_activity,lastyear_activity,number_of_employees,exited
abcd,78,1024,12,1,nciw,100.0,1359.0,1.0,0.0
asdf,14,2145,20,0,lsid,68.0,282.0,14.0,0.0
xyzz,182,3891,35,0,pwls,71.0,949.0,40.0,1.0
acme,101,10983,2,1,bqlx,686.0,3782.0,103.0,0.0
qwer,0,118,42,1,zmei,45.0,655.0,7.0,0.0
tyui,929,1992,1,0,wosl,0.0,18.0,21.0,1.0
zxcv,19,455,8,1,xcvb,189.0,961.0,18.0,1.0
hjkl,94,868,3,1,dfgh,16.0,1028.0,33.0,0.0
lmno,81,1401,10,0,ngrd,9.0,45.0,1.0,1.0
qqqq,52,650,11,1,xful,0.0,67.0,14.0,1.0
corp,1090,2452,9,0,kshe,48.0,986.0,22.0,1.0
ekci,6,88,90,1,qqqq,52.0,650.0,11.0,1.0
dosk,99,390,99,1,corp,1090.0,2452.0,9.0,0.0
endi,75,800,81,1,ekci,6.0,88.0,90.0,1.0
gudj,255,1687,2,0,dosk,99.0,390.0,99.0,1.0
wosl,0,18,21,1,endi,75.0,800.0,81.0,1.0
xcvb,189,961,18,1,gudj,255.0,1687.0,2.0,0.0
dfgh,16,1028,33,0,,,,,
ngrd,9,45,1,1,,,,,
